+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1645]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1643]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1642]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1644]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[550]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1484]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1011]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[549]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[797]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1368]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1410]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[617]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1424]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1489]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[799]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1840]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1503]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[581]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1358]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1842]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[532]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1506]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1471]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1442]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1017]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1411]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1847]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[548]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1023]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1359]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[583]/D|
